name;birth_year;start_reign;death_year;end_reign;uncertain_birthyear;uncertain_deathyear;uncertain_reignstart
Gorm_den_gamle;NA;NA;958,00;958,00;yes;yes;yes
Harald_1_blaatand;NA;NA;987,00;987,00;yes;yes;yes
Svend_1_tveskaeg;963,00;NA;1014,00;1014,00;no;no;yes
Harald_2;NA;1014,00;1018,00;1018,00;yes;yes;no
Knud_1_den_store;995,00;1018,00;1035,00;1035,00;yes;no;no
Hardeknud;1020,00;1035,00;1042,00;1042,00;no;no;no
Magnus_den_gode;1024,00;1042,00;1047,00;1047,00;no;no;no
Svend_2_estridsen;1020,00;1047,00;1076,00;1076,00;yes;no;yes
Harald_2_hen;1040,00;1076,00;1080,00;1080,00;yes;no;yes
Knud_2_den_hellige;1042,00;1080,00;1086,00;1086,00;yes;no;no
Oluf_1_hunger;1050,00;1086,00;1095,00;1095,00;yes;no;no
Erik_1_ejegod;1056,00;1095,00;1103,00;1103,00;yes;no;no
Niels;1065,00;1104,00;1134,00;1134,00;yes;no;no
Erik_2_emune;1090,00;1134,00;1137,00;1137,00;yes;no;no
Erik_3_lam;NA;1137,00;1146,00;1146,00;yes;no;no
Svend_3;1125,00;1146,00;1157,00;1157,00;no;no;no
Knud_3;1128,00;1146,00;1157,00;1157,00;no;no;no
Valdemar_1_den_store;1131,00;1146,00;1182,00;1182,00;no;no;yes
Knud_4;1163,00;1182,00;1202,00;1202,00;no;no;no
Valde_2_sejr;1170,00;1202,00;1241,00;1241,00;no;no;no
Erik_4_plovpenning;1216,00;1241,00;1250,00;1250,00;no;no;no
Abel;1218,00;1250,00;1252,00;1252,00;yes;no;no
Christoffer_1;1219,00;1252,00;1259,00;1259,00;yes;no;no
Erik_5_klipping;1249,00;1259,00;1286,00;1286,00;no;no;no
Erik_6_menved;1274,00;1286,00;1319,00;1319,00;no;no;no
Christoffer_2;1276,00;1319,00;1332,00;1326,00;no;no;yes
Christoffer_2;1276,00;1329,00;1332,00;1332,00;no;no;no
Valdemar_3;1315,00;1326,00;1364,00;1329,00;yes;no;no
Valdemar_4_atterdag;1320,00;1340,00;1375,00;1375,00;yes;no;no
Oluf_2;1370,00;1375,00;1387,00;1387,00;no;no;no
Margrete_1;1353,00;1387,00;1412,00;1396,00;no;no;no
Erik_7_af_pommern;1382,00;1396,00;1459,00;1439,00;yes;no;no
Christoffer_3_af_bayern;1416,00;1440,00;1448,00;1448,00;no;no;no
Christian_1;1426,00;1448,00;1481,00;1481,00;no;no;no
Hans;1455,00;1482,00;1513,00;1513,00;no;no;no
Christian_2;1481,00;1513,00;1559,00;1523,00;no;no;no
Frederik_1;1471,00;1523,00;1533,00;1533,00;no;no;no
Christian_3;1503,00;1536,00;1559,00;1559,00;no;no;no
Frederik_2;1534,00;1559,00;1588,00;1588,00;no;no;no
Christian_4;1577,00;1596,00;1648,00;1648,00;no;no;yes
Frederik_3;1609,00;1648,00;1670,00;1670,00;no;no;no
Christian_5;1646,00;1670,00;1699,00;1699,00;no;no;no
Frederik_4;1671,00;1699,00;1730,00;1730,00;no;no;no
Christian_6;1699,00;1730,00;1746,00;1746,00;no;no;no
Frederik_5;1723,00;1746,00;1766,00;1766,00;no;no;no
Christian_7;1749,00;1766,00;1808,00;1808,00;no;no;no
Frederik_6;1768,00;1808,00;1839,00;1839,00;no;no;no
Christian_8;1786,00;1839,00;1848,00;1848,00;no;no;no
Frederik_7;1808,00;1848,00;1863,00;1863,00;no;no;no
Christian_9;1818,00;1863,00;1906,00;1906,00;no;no;no
Frederik_8;1843,00;1906,00;1912,00;1912,00;no;no;no
Christian_10;1870,00;1912,00;1947,00;1947,00;no;no;no
Frederik_9;1899,00;1947,00;1972,00;1972,00;no;no;no
Margrete_2;1940,00;1972,00;NA;2024,00;no;yes;no
Frederik_10;1968,00;2024,00;NA;NA;no;yes;no
